Date,Fund1,Fund2,Fund3
08/10/2010,1344.19995117188,5657.60009765625,1165.15002441406
11/10/2010,1353.30004882813,5672.39990234375,1165.31994628906
12/10/2010,1345.69995117188,5661.60009765625,1169.77001953125
13/10/2010,1369.5,5747.39990234375,1178.09997558594
14/10/2010,1376.69995117188,5727.2001953125,1173.81005859375
15/10/2010,1371.09997558594,5703.39990234375,1176.18994140625
18/10/2010,1371.19995117188,5742.5,1184.7099609375
19/10/2010,1335.09997558594,5703.89990234375,1165.90002441406
20/10/2010,1343.30004882813,5728.89990234375,1178.17004394531
21/10/2010,1324.69995117187,5757.89990234375,1180.26000976563
22/10/2010,1324.40002441406,5741.39990234375,1183.07995605469
25/10/2010,1338.30004882813,5752,1185.61999511719
26/10/2010,1338,5707.2998046875,1185.64001464844
27/10/2010,1322.19995117188,5646,1182.44995117188
28/10/2010,1342.09997558594,5677.89990234375,1183.78002929688
29/10/2010,1357.09997558594,5675.2001953125,1183.26000976563
01/11/2010,1350.19995117188,5694.60009765625,1184.38000488281
02/11/2010,1356.40002441406,5757.39990234375,1193.56994628906
03/11/2010,1337.09997558594,5749,1197.9599609375
04/11/2010,1382.69995117188,5862.7998046875,1221.06005859375
05/11/2010,1397.30004882813,5875.39990234375,1225.84997558594
08/11/2010,1402.80004882813,5850,1223.25
09/11/2010,1409.80004882813,5875.2001953125,1213.40002441406
10/11/2010,1399.09997558594,5816.89990234375,1218.7099609375
11/11/2010,1403.09997558594,5815.2001953125,1213.5400390625
12/11/2010,1365.40002441406,5796.89990234375,1199.2099609375
15/11/2010,1368.40002441406,5820.39990234375,1197.75
16/11/2010,1338.30004882813,5681.89990234375,1178.33996582031
17/11/2010,1336.80004882813,5692.60009765625,1178.58996582031
18/11/2010,1352.90002441406,5768.7001953125,1196.68994140625
19/11/2010,1352.19995117188,5732.7998046875,1199.72998046875
22/11/2010,1357.69995117188,5680.7998046875,1197.83996582031
23/11/2010,1377.5,5581.2998046875,1180.72998046875
24/11/2010,1372.90002441406,5657.10009765625,1198.34997558594
25/11/2010,,5698.89990234375,
26/11/2010,1362.30004882813,5668.7001953125,1189.40002441406
29/11/2010,1366,5551,1187.76000976563
30/11/2010,1385,5528.2998046875,1180.55004882813
01/12/2010,1387.30004882813,5642.5,1206.06994628906
02/12/2010,1388.5,5767.60009765625,1221.53002929688
03/12/2010,1405.40002441406,5745.2998046875,1224.7099609375
06/12/2010,1415.30004882813,5770.2998046875,1223.11999511719
07/12/2010,1408.30004882813,5808.5,1223.75
08/12/2010,1382.5,5794.5,1228.28002929688
09/12/2010,1392.09997558594,5808,1233
10/12/2010,1384.30004882813,5813,1240.40002441406
13/12/2010,1397.30004882813,5860.7998046875,1240.4599609375
14/12/2010,1403.59997558594,5891.2001953125,1241.58996582031
15/12/2010,1385.5,5882.2001953125,1235.22998046875
